Questionnaire Code:,"Would you prefer receiving alerts/information/advice(exclusive deals, cashback offers, coupons), if so how?","	Would you like to avail any last minute deals/emergency deals?",        How often do you go to Movies/Sports/Public Events?,        How often do you go to Movies/Sports/Public Events?,How often do you go to Movies/Sports/Public Events?,"Do you prefer having food while in Movies/Sports/Public Events (Concert/Trade Fair)? If yes, what type?","	How much do you mostly spend on a single visit to Movies/Sports/Public Events (concert/trade fair) in Crowns?","	What are the factors considered while staying at a hotel?","	Would you lik to purchase items online, if offered bundle?","	What type of discounts/offers d you look for when you shop online?","	What type of discounts/offers do you look for whe you make MFS transactions?","	What type of discounts/offers do you look for whe you make MFS transactions?","	Do you use internet in your phone?","	What type of internet packages do you use?","	What type of apps do you use on your mobile?","	What type of apps do you use on your mobile?","	What type of apps do you use on your mobile?","What is your monthly Expenditure in Crowns behind mobile phone? (Voice Call, Internet, SMS, Others)","	Do you shop online?","	What kind of products/services do you shop online?","	What kind of products/services do you shop online?","	What kind of products/services do you shop online?","	What is the avg. amount spent per online shopping?","	% of online shopping Basket: Online shopping as a % of total shopping.",What are the most important features that you want in your MFS app?,What are the most important features that you want in your MFS app?,What are the most important features that you want in your MFS app?,"	Do you think you will decrease/stop online shopping in the next year?","If you answer to the previous question is ""Yes""","If you answer to the previous question is ""Yes""","If you answer to the previous question is ""Yes""","If your answer is ""no""","If your answer is ""no""","If your answer is ""no""",Do you think you will start using digital financial services next year?,"If you answer to the previous question is ""Yes"" or ""Maybe""","If you answer to the previous question is ""Yes"" or ""Maybe""","If you answer to the previous question is ""Yes"" or ""Maybe""",What is your preferred MFS to use when shopping online?,"	How would you prefer to get the refund?","	How would you prefer to get the refund?","	How would you prefer to get the refund?","	What is your gender?","	What is your age?",Age Profile,"	What is your profession?","	Which sector are you currently employed in?","	In which industry are you employed?","	What is your marital status?","	Where do you live?",What is your monthly household income?,Econ Profile,"	What type of person do you consider yourself in terms of online shopping?"
131,Phone call,"Yes, at a discounted price",Once/twice in 6 months,Once/twice in a year,Never,I prefer having some light snacks like sandwich,"501-1,000",Discount/Offers,"Yes, at regular price",Mobile Talk time top up,Internet balance top up,Cashback offer,Yes,Monthly Limited,Ecommerce apps,YouTube,Food ordering apps,500 - 700,Once/twice in 6 months,Electronic gadgets,Commodity,Food,"1,001 - 2,000",11-30%,Longer transaction time-out,Higher Transaction Limit,Easy to use mobile app,No,,,,Payment is difficult,Lack of discount/offers,Description of the product/service is not detailed,Maybe,Efficient customer service,Attractive discounts,Don't have to travel,SnapTap,Cash delivered,Internet balance top up,Earning credits for future purchase,Male,50+ years,Baby Boomers,Employed,Own Business,Telecom,Married with more than 1 kid,Dhanmondi,"50,001-100,000",Emerging,I find adapting to new technology difficult
132,Email,"Yes, but at regular price",Once/twice in 6 months,Once/twice in 6 months,Once/twice in 6 months,I prefer having some light snacks like sandwich,"1,001-2,000",Safety,No,Mobile Talk time top up,Internet balance top up,Cashback offer,At times,Monthly Limited,Facebook,Imo,Viber,"1,001 - 2,000",Never,I don't shop online,,,I don't shop online,I don't shop online,Easy to use mobile app,More privacy assurance,,No,,,,Love the touch and feel,Can't tell if the product is genuine,Didn't know about such services,Yes,Don't have to travel,Attractive discounts,Got to know about such services,Chime,Bank Account,Cash delivered,,Male,31-40 years,Gen X,Employed,Private - For Profit,Telecom,Married with no kids,Mirpur,"Up to 50,000",Aspirant,I use internet mainly for socialization
133,Sms,"Yes, but at regular price",Once/twice in 6 months,Never,Once/twice in a year,I prefer having chocolates/ice-creams,"501-1,000",Quality of the service,"Yes, at regular price",Cash discounts,Mobile Talk time top up,Cashback offer,Yes,Monthly unlimited,Ecommerce apps,YouTube,Food ordering apps,500 - 700,Once/twice in 6 months,Cloths,Electronic gadgets,Commodity,"701 - 1,000",11-30%,High Security ,Longer transaction time-out,Easy to use mobile app,No,,,,Cannot trust online transaction,Less option to choose from,Description of the product/service is not detailed,Maybe,Easy to make payment/Convenient,Reliable call center service,Don't have to travel,Chime,Cash delivered,Mobile balance top up,Internet balance top up,Male,41-50 years,Baby Boomers,Employed,Private - For Profit,Manufacturing,Married with 1 kid,Dhanmondi,"50,001-100,000",Emerging,I find adapting to new technology difficult
134,Sms,No,Once a month,Once/twice in 6 months,Twice a month,I prefer complementary meal/food service,Up to 500,Quality of the room,No,Cash discounts,Internet balance top up,Coupons,Yes,Monthly Limited,Facebook,Shohoz.com,I don't use apps,"1,001 - 2,000",Once/twice in a year,Cloths,Accessories,Electronic gadgets,"1,001 - 2,000",31-50%,Easy to use mobile app,More privacy assurance,,No,,,,I purchase online,,,Yes,Attractive discounts,Don't have to travel,Reliable call center service,MaxPay,Cash delivered,Bkash,rocket,Male,31-40 years,Gen X,Employed,Private - Not for Profit,NGO,Single with no kid,Mirpur,"Up to 50,000",Aspirant,I think online payment system is not secured yet
135,Phone call,"Yes, at a discounted price",Once/twice in 6 months,Never,Once/twice in a year,I prefer having some light snacks like sandwich,"501-1,000",Price,"Yes, at regular price",Mobile Talk time top up,Cashback offer,Coupons,Yes,Monthly Limited,Ecommerce apps,YouTube,Uber,"1,001 - 2,000",Once a month,Cloths,Commodity,Food,"1,001 - 2,000",31-50%,High Security ,Easy to use mobile app,,No,,,,Cannot trust online transaction,Poor customer service,Lack of discount/offers,Maybe,Easy to make payment/Convenient,Reliable call center service,Don't have to travel,Chime,Cash delivered,Internet balance top up,Earning credits for future purchase,Male,41-50 years,Baby Boomers,Employed,Own Business,NGO,Married with no kids,Dhanmondi,"50,001-100,000",Emerging,I think online payment system is not secured yet
136,Sms,"Yes, but at regular price",Once/twice in 6 months,Never,Once/twice in a year,I prefer having some soft drinks with popcorns/French fries,"501-1,000",Ease of payment,"Yes, at regular price",Gifts (T-shirt/Mug),Internet balance top up,Coupons,Yes,Monthly Limited,Ecommerce apps,YouTube,Food ordering apps,500 - 700,Once/twice in 6 months,Cloths,Electronic gadgets,Food,"701 - 1,000",11-30%,More privacy assurance,Longer transaction time-out,Easy to use mobile app,No,,,,Finds it complicated,Poor customer service,Description of the product/service is not detailed,Yes,Easy to make payment/Convenient,Reliable call center service,,Chime,Mobile balance top up,Internet balance top up,Earning credits for future purchase,Female,31-40 years,Gen X,Homemaker,,,Married with no kids,Dhanmondi,"50,001-100,000",Emerging,I love the touch and feel of the product while shopping
137,Sms,"Yes, at a premium price",Once/twice in 6 months,Once/twice in a year,,I prefer having chocolates/ice-creams,"501-1,000",Discount/Offers,"Yes, at regular price",Cash discounts,Gifts (Free tickets/food voucher),Cashback offer,Yes,Monthly Limited,Facebook,Ecommerce apps,Food ordering apps,500 - 700,Once/twice in 6 months,Cloths,Commodity,Food,"701 - 1,000",11-30%,High Security ,Longer transaction time-out,Easy to use mobile app,No,,,,Cannot trust online transaction,Payment is difficult,Lack of discount/offers,Yes,Easy to make payment/Convenient,Reliable call center service,Don't have to travel,SnapTap,Bank Account,Internet balance top up,Earning credits for future purchase,Female,21-30 years,Millennials,Student,,,Single with no kid,Dhanmondi,"50,001-100,000",Emerging,I love the touch and feel of the product while shopping
138,Email,"Yes, at a discounted price",Once a month,Twice a month,Twice a month,I prefer having some light snacks like sandwich,"2,001-3,000",Complimentary breakfast,"Yes, at a discounted price",Gifts (T-shirt/Mug),Internet balance top up,Cashback offer,Yes,Customized,Facebook,Imo,Twitter,"1,001 - 2,000",Never,I don't shop online,,,I don't shop online,I don't shop online,Call center facilities,Longer transaction time-out,Easy to use mobile app,No,,,,I purchase online,Cannot trust online transaction,Payment is difficult,No,,,,Chime,Bank Account,Cash delivered,Internet balance top up,Male,31-40 years,Gen X,Employed,Private - For Profit,RMG/Textile,Married with no kids,Mirpur,"Up to 50,000",Aspirant,I love the touch and feel of the product while shopping
139,Sms,"Yes, but at regular price",Once/twice in 6 months,Once/twice in a year,Once/twice in 6 months,I prefer complementary meal/food service,"1,001-2,000",Quality of the service,"Yes, at a discounted price",Cash discounts,Gifts (Free tickets/food voucher),Cashback offer,Yes,Monthly unlimited,Facebook,YouTube,,"1,001 - 2,000",Once/twice in a year,Cloths,Accessories,Food,"1,001 - 2,000",Up to 10%,Easy to use mobile app,Longer transaction time-out,,Yes,Poor customer service,Poor quality of product/service,Less option to choose from,No bargaining facility,Can't tell if the product is genuine,,Yes,Don't have to travel,Attractive discounts,Last minute deals,PayUp,Bank Account,Cash delivered,Earning credits for future purchase,Female,21-30 years,Millennials,Employed,Private - For Profit,Education,Single with no kid,Dhanmondi,"200,001-300,000",Affluent,I think online payment system is not secured yet
140,Phone call,"Yes, at a discounted price",Once/twice in 6 months,Never,Never,I prefer having some light snacks like sandwich,"501-1,000",Quality of the service,"Yes, at regular price",Cash discounts,Mobile Talk time top up,Cashback offer,Yes,Monthly Limited,Ecommerce apps,Food ordering apps,Shohoz.com,500 - 700,Once/twice in 6 months,Cloths,Commodity,Food,"1,001 - 2,000",11-30%,Longer transaction time-out,Easy to use mobile app,,No,,,,Cannot trust online transaction,Poor customer service,Description of the product/service is not detailed,Yes,Easy to make payment/Convenient,Reliable call center service,Don't have to travel,Chime,Cash delivered,Mobile balance top up,Earning credits for future purchase,Female,41-50 years,Baby Boomers,Employed,Public,Govt. Agency,Married with more than 1 kid,Dhanmondi,"50,001-100,000",Emerging,I love the touch and feel of the product while shopping
141,Sms,No,Once/twice in a year,Never,Never,I prefer having some soft drinks with popcorns/French fries,"1,001-2,000",Quality of the service,No,Cash discounts,Gifts (Free tickets/food voucher),,Yes,Monthly Limited,Facebook,WhatsApp,,Up to 500,Once/twice in a year,Food,,,Up to 500,Up to 10%,Easy to use mobile app,,,Maybe,I am more comfortable visiting physically,,,Finds it complicated,Payment is difficult,,Maybe,Attractive discounts,Don't have to travel,Last minute deals,SnapTap,Cash delivered,,,Female,21-30 years,Millennials,Employed,Private - For Profit,Engineer,Single with no kid,Mohammadpur,"50,001-100,000",Emerging,I think online payment system is not secured yet
142,Email,"Yes, at a premium price",Once a month,Once a month,Once a month,I don't,Up to 500,Price,No,Gifts (T-shirt/Mug),Cashback offer,,Yes,Monthly unlimited,Facebook,WhatsApp,Uber,Up to 500,More than twice a month,Cloths,Accessories,,Up to 500,11-30%,Easy to use mobile app,Longer transaction time-out,Payment gateway integration,Yes,I find the payment complicated and it will not be easier in the future,It is not safe to transact online,Call center service was not up to the mark,Can't find what is being looked for,Less option to choose from,Love the touch and feel,No,Efficient customer service,Attractive discounts,Last minute deals,PayUp,Bank Account,Mobile balance top up,Internet balance top up,Female,21-30 years,Millennials,Employed,Private - For Profit,Engineer,Single with no kid,Mohammadpur,"Up to 50,000",Aspirant,I think online payment system is not secured yet
143,Sms,"Yes, at a premium price",Once/twice in a year,Never,Never,I prefer having some soft drinks with popcorns/French fries,"501-1,000",Environment,"Yes, at regular price",Cash discounts,Gifts (Free tickets/food voucher),Internet balance top up,Yes,Monthly unlimited,Ecommerce apps,YouTube,Food ordering apps,500 - 700,Once/twice in 6 months,Accessories,Electronic gadgets,Commodity,"701 - 1,000",Up to 10%,High Security ,Longer transaction time-out,Easy to use mobile app,No,,,,Cannot trust online transaction,Payment is difficult,Description of the product/service is not detailed,Maybe,Easy to make payment/Convenient,Reliable call center service,,Chime,Bank Account,Cash delivered,Earning credits for future purchase,Male,50+ years,Baby Boomers,Employed,Public,Govt. Agency,Married with more than 1 kid,Dhanmondi,"50,001-100,000",Emerging,I think online payment system is not secured yet
144,Email,"Yes, at a discounted price",Once a month,Once/twice in 6 months,Once a month,I prefer having some soft drinks with popcorns/French fries,"501-1,000",Brand,"Yes, at a discounted price",Gifts (T-shirt/Mug),Mobile Talk time top up,Internet balance top up,Yes,Customized,Uber,Wktickets,Gaming apps,500 - 700,Twice a month,Cloths,Accessories,Electronic gadgets,"1,001 - 2,000",31-50%,Longer transaction time-out,Easy to use mobile app,Payment gateway integration,No,,,,I purchase online,,,Yes,Can transfer funds between accounts easily,Attractive discounts,Easy to make payment/Convenient,SnapTap,Bank Account,Cash delivered,Internet balance top up,Male,31-40 years,Gen X,Self-employed,Own Business,Education,Single with no kid,Banani,"100,001-200,000",Established,I like to explore new things
145,Sms,"Yes, but at regular price",,Once/twice in a year,Once/twice in a year,I prefer having some light snacks like sandwich,"1,001-2,000",Quality of the service,No,Cash discounts,,,Yes,Monthly Limited,Facebook,WhatsApp,Instagram,"1,001 - 2,000",Once/twice in 6 months,Accessories,,,500 - 700,Up to 10%,Easy to use mobile app,High mobile optimization,,No,,,,Less option to choose from,,,Maybe,Don't have to travel,,,Chime,Cash delivered,,,Female,21-30 years,Millennials,Employed,Private - For Profit,Manufacturing,Single with no kid,Bashundhara,"50,001-100,000",Emerging,I use internet mainly for socialization
146,Sms,"Yes, at a discounted price",Once a month,Once a month,Once a month,I prefer having some soft drinks with popcorns/French fries,"2,001-3,000",Safety,"Yes, at a discounted price",Cash discounts,Mobile Talk time top up,Internet balance top up,Yes,Monthly Limited,Facebook,Viber,Uber,"1,001 - 2,000",Once/twice in 6 months,Cloths,Car/Vehicle,Electronic gadgets,500 - 700,31-50%,Easy to use mobile app,Longer transaction time-out,,No,,,,I purchase online,,,Yes,Reliable call center service,Don't have to travel,Last minute deals,SnapTap,Cash delivered,Mobile balance top up,Internet balance top up,Male,21-30 years,Millennials,Employed,Private - For Profit,Education,Single with no kid,Uttara,"50,001-100,000",Emerging,I love the touch and feel of the product while shopping
147,Email,"Yes, but at regular price",Never,Never,Once/twice in 6 months,I prefer having some soft drinks with popcorns/French fries,Up to 500,Discount/Offers,"Yes, at a discounted price",Cash discounts,Gifts (Free tickets/food voucher),,Yes,Monthly unlimited,Imo,Viber,Maps,"1,001 - 2,000",Twice a month,Cloths,Food,,"1,001 - 2,000",11-30%,Call center facilities,More privacy assurance,Easy to use mobile app,No,,,,I purchase online,Poor customer service,,Yes,Can transfer funds between accounts easily,,,PayUp,Bank Account,,,Female,21-30 years,Millennials,Employed,Public,Education,Single with no kid,Mirpur,"Up to 50,000",Aspirant,I think online payment system is not secured yet
148,Sms,"Yes, but at regular price",Once/twice in 6 months,,Once/twice in 6 months,I prefer having some soft drinks with popcorns/French fries,"1,001-2,000",Quality of the service,No,Cash discounts,,,Yes,Monthly Limited,Facebook,WhatsApp,Instagram,Up to 500,Never,I don't shop online,,,I don't shop online,I don't shop online,,,,Maybe,,,,Cannot trust online transaction,,,Maybe,Attractive discounts,Floating deals during off-peak hours,,Chime,Bank Account,Cash delivered,,Female,21-30 years,Millennials,Employed,Private - For Profit,architect,Single with no kid,Uttara,"50,001-100,000",Emerging,I use internet mainly for socialization
149,Sms,"Yes, at a discounted price",Once/twice in 6 months,Once/twice in 6 months,Once/twice in 6 months,I prefer having some soft drinks with popcorns/French fries,"501-1,000",Environment,"Yes, at a discounted price",Cash discounts,Mobile Talk time top up,Internet balance top up,Yes,Monthly Limited,Facebook,YouTube,Maps,Up to 500,Once/twice in a year,Furniture,Car/Vehicle,Commodity,500 - 700,11-30%,Call center facilities,Longer transaction time-out,,No,,,,I purchase online,,,Yes,Easy to make payment/Convenient,Attractive discounts,,Chime,Bank Account,Cash delivered,Bkash,Male,41-50 years,Baby Boomers,Self-employed,Own Business,RMG/Textile,Married with 1 kid,Badda,"50,001-100,000",Emerging,I use internet mainly for socialization
150,Sms,"Yes, at a discounted price",Once/twice in 6 months,Once/twice in a year,Once/twice in a year,I prefer having some light snacks like sandwich,"501-1,000",Size of the room,"Yes, at regular price",Gifts (T-shirt/Mug),Mobile Talk time top up,Cashback offer,Yes,Monthly unlimited,Facebook,Ecommerce apps,Food ordering apps,500 - 700,Once/twice in 6 months,Cloths,Electronic gadgets,Food,"701 - 1,000",11-30%,Longer transaction time-out,Higher Transaction Limit,Easy to use mobile app,No,,,,Cannot trust online transaction,Less option to choose from,Description of the product/service is not detailed,Maybe,Easy to make payment/Convenient,Efficient customer service,,SnapTap,Mobile balance top up,Internet balance top up,Earning credits for future purchase,Male,31-40 years,Gen X,Student,,,Single with no kid,Dhanmondi,"50,001-100,000",Emerging,I like to explore new things
